"%s Item(s)","%s פריט(ים)"
"Loved? <b>Share</b>","אהבתם? <b>שתפו</b>"
"Share on pinterest","שתף בפינטרסט"
"Share on Twitter","שתף בטוויטר"
"Share on Facebook","שתף בפייסבוק"
"For Steak","לסטייק"
"Characters left:","תווים שנותרו"
"Add to favorites","הוסף לקבועים שלי"
"Remove from favorites","הסרה מהקבועים שלי"
"Recipes to make with this product","מתכונים שאפשר להכין עם המוצר"
"Go to Full Details","לדף מוצר מלא לחצו כאן"
"Hi","היי"
"The page you were looking for could not be found, perhaps you were looking for a page that no longer exists on the site, or you typed the wrong address.","הדף שחיפשתם לא נמצא,  יתכן שחיפשת דף שאינו קיים יותר באתר או שהקלדת כתובת  שגויה."
"Back to home page","לחזרה לדף הבית"
"What are you looking for?","מה אתם מחפשים?"
"Search in site","חפשו בחנות"
"Search","חפש"
"Filter Recipes By","סינון מתכונים לפי"
"Tagged with %s","חיפוש לפי: %s"
"Tagged with "%s"","חיפוש לפי: "%s""
"Print the recipe","הדפס את המתכון"
"Recipe Items","מוצרים במתכון"
"Add all to cart","הוסף את כל המוצרים לסל"
"Additional intersting Recipes","מתכונים נוספים שיעניינו אותכם"
"My regulars","הקבועים שלי"
"Customer Service","שירות לקוחות"
"Watch products","לצפייה במוצרים"
"Making Time","זמן הכנה"
"minutes","דקות"
"Kosher Lemehadein","כשר למהדרין"
"Need help? Call","צריכים עזרה? התקשרו"
