"An error occurred while sending email","An error occurred while sending email"
"Alphanumeric","Alphanumeric"
"Alphabetical","Alphabetical"
"Numeric","Numeric"
"Available","זמין"
"Expired","פג תוקף"
"Expires","תאריך תפוגה"
"Used","משומש"
"Created","Created"
"Updated","Updated"
"Ordered","Ordered"
"Invoiced","Invoiced"
"Virtual","Virtual"
"Physical","Physical"
"Combined","Combined"
"Yes","Yes"
"No","No"
"Amount","Amount"
"Choose an Amount...","בחר מחיר..."
"Other Amount...","Other Amount..."
"Amount in %s","Amount in %s"
"Minimum: %s","Minimum: %s"
"Maximum: %s","Maximum: %s"
"Entered amount is too low","Entered amount is too low"
"Entered amount is too high","Entered amount is too high"
"Sender Name","שם השולח"
"Sender Email","כתובת מייל של השולח"
"Recipient Name","שם המקבל"
"Recipient Email","כתובת מייל של המקבל"
"Message","Message"
"[GLOBAL]","[GLOBAL]"
"Expires After (days)","Expires After (days)"
"Use Config Settings","Use Config Settings"
"Allow Message","Allow Message"
"[STORE VIEW]","[STORE VIEW]"
"Email Template","Email Template"
"Delete Amount","Delete Amount"
"Remove","Remove"
"From:","From:"
"To:","To:"
"Enter your gift card code","הכנס את קוד הכרטיס"
"Check Gift Card status","בדוק סטטוס"
"General Settings","General Settings"
"Expires After","Expires After"
"leave empty to disable expiration","leave empty to disable expiration"
"Allow Gift Message","Allow Gift Message"
"Generate Gift Card When Order Item Is","Generate Gift Card When Order Item Is"
"Coupon Code Settings","Coupon Code Settings"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Code Separator","Code Separator"
"Insert Separator Every X Characters","Insert Separator Every X Characters"
"Email Settings","Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Settings","Settings"
"Refund Processing","Refund Processing"
"Amount on Gift Card first","Amount on Gift Card first"
"Other amounts first","Other amounts first"
"Gift Card "%s" is not valid.","Gift Card "%s" is not valid."
"Unable to refund card ""%s"" due to it\'s removal","Unable to refund card ""%s"" due to it\'s removal"
"Unable to refund card ""%s"" due to it is already used","Unable to refund card "%s"" due to it is already used"
"Unable to refund card ""%s"" due to it is already out of balance","Unable to refund card ""%s"" due to it is already out of balance"
"Unable to refund card ""%s"" due to it is already expired","Unable to refund card ""%s"" due to it is already expired"
"Refunded","Refunded"
"Refund for order #%s.","Refund for order #%s."
"Gift Cards","Gift Cards"
"Set Active","Set Active"
"Actions","Actions"
"To","To"
"%s should be 0.01 or greater.","%s should be 0.01 or greater."
"This card has expired","This card has expired"
"The balance on this card is 0","The balance on this card is 0"
"This card has been refunded","This card has been refunded"
"Gift Card is not valid.","Gift Card is not valid."
