"Enable log cleaning","הפעל ניקוי יומן"
"Error Email Recipient","הנמען לקבלת הודעת שגיאה"
"Error Email Sender","השולח הודעת שגיאה"
"Error Email Template","תבנית של הודעת השגיאה"
"Frequency","תדירות"
"Log Cleaning","ניקוי יומן"
"Log cleanup Warnings","הזהרות ניקוי יומן"
"Save log, days","שמירת יומן, ימים"
"Start Time","זמן התחלה"
